pro_title,pro_brand,pro_model,pro_color,数量,normalized_brand,device_category,normalized_model,memory_storage,normalized_color,storage
华为 nova Flip,华为,星耀黑 512G,星耀黑 512G,1,Huawei 华为,Smartphone,nova Flip,未知+512GB,黑色,未知+512GB
惠普 星Book Pro14,惠普（HP）,i7-13700H/16G/1TB v3.0 SSD/锐炬/Win11/2.8K 100%色域 /背光键盘/指纹/银色,i7-13700H/16G/1TB v3.0 SSD/锐炬/Win11/2.8K 100%色域 /背光键盘/指纹/银色,1,HP 惠普,Computer,i7-13700H/16G/1TB v3.0 SSD/锐炬/Win11/2.8K 100%色域 /背光键盘/指纹/银色,未知+16GB,银色,未知+16GB
一加Ace3 Pro,一加,钛空镜银 16+256G,钛空镜银 16+256G,6,OnePlus 一加,Smartphone,Ace3 Pro,未知+256GB,银色,未知+256GB
一加 Ace 3,一加,星辰黑 5G全网通 12+256G,星辰黑 5G全网通 12+256G,1,OnePlus 一加,Smartphone,Ace 3,未知+5GB,黑色,未知+5GB
MatePad Pro 2024款,华为,13.2英寸 雅川青 12GB+256GB WiFi版,13.2英寸 雅川青 12GB+256GB WiFi版,1,Huawei 华为,Tablet,MatePad Pro 2024,12GB+256GB,13.2英寸 雅川青 12GB+256GB WiFi版,12GB+256GB
小米 Pad 6S Pro 12.4,小米,16GB+1TB 原野绿,16GB+1TB 原野绿,3,Xiaomi 小米,Smartphone,Pad 6,未知+16GB,绿色,未知+16GB
iPhone 15 Pro Max（99新）,Apple,蓝色钛金属 256G,蓝色钛金属 256G,5,Apple 苹果,Smartphone,iPhone 15 Pro,未知+256GB,蓝色,未知+256GB
红米 Note14 Pro+,红米,星沙青 12+256G,星沙青 12+256G,4,Xiaomi 小米,Smartphone,Note14 Pro,未知+256GB,红色,未知+256GB
Xiaomi 14,小米,雪山粉 16+1T,雪山粉 16+1T,3,Xiaomi 小米,Smartphone,Xiaomi 14,未知+1024GB,雪山粉 16+1T,未知+1024GB
ThinkBook 14+ 2024,联想,UItra 5 125H/16G/512G/锐炫/14.5英寸 月神灰,UItra 5 125H/16G/512G/锐炫/14.5英寸 月神灰,1,Lenovo 联想,Computer,ThinkBook 14,未知+16GB,灰色,未知+16GB
荣耀200 Pro,荣耀,月影白 12+512G,月影白 12+512G,3,Honor 荣耀,Smartphone,Pro,未知+512GB,白色,未知+512GB
红米 Note14 Pro+,红米,镜瓷白 12+256G,镜瓷白 12+256G,8,Xiaomi 小米,Smartphone,Note14 Pro,未知+256GB,白色,未知+256GB
荣耀 手表4 Pro,荣耀（非手机）,墨绿色 黑色氟橡胶表带,墨绿色 黑色氟橡胶表带,2,Honor 荣耀,Smartphone,墨绿色 黑色氟橡胶表带,未知,黑色,未知
荣耀200 Pro,荣耀,绒黑色 16+1T,绒黑色 16+1T,1,Honor 荣耀,Smartphone,Pro,未知+1024GB,黑色,未知+1024GB
OPPO Reno12,OPPO,千禧银 16+512G,千禧银 16+512G,7,OPPO,Smartphone,OPPO Reno12,未知+512GB,银色,未知+512GB
华为 nova 12 Pro,华为,樱语白 512G,樱语白 512G,1,Huawei 华为,Smartphone,nova 12 Pro,未知+512GB,白色,未知+512GB
MatePad Pro 2024款,华为,13.2英寸 雅川青 12GB+512GB WiFi版,13.2英寸 雅川青 12GB+512GB WiFi版,3,Huawei 华为,Tablet,MatePad Pro 2024,12GB+512GB,13.2英寸 雅川青 12GB+512GB WiFi版,12GB+512GB
iPhone 16,Apple,黑色 512G,黑色 512G,7,Apple 苹果,Smartphone,iPhone 16,未知+512GB,黑色,未知+512GB
联想 小新Pro16 2024,联想,鸽子灰 Ultra 5 125H/32G/1T/锐炫/16英寸,鸽子灰 Ultra 5 125H/32G/1T/锐炫/16英寸,4,Lenovo 联想,Computer,鸽子灰 Ultra 5 125H/32G/1T/锐炫/16英寸,未知+32GB,灰色,未知+32GB
华为 Pura 70 Pro+,华为,公开零售版 魅影黑 16+512G,公开零售版 魅影黑 16+512G,6,Huawei 华为,Smartphone,Pura 70 Pro,未知+512GB,黑色,未知+512GB
华为 Pura 70,华为,极速配送 羽砂黑 12+256G,极速配送 羽砂黑 12+256G,2,Huawei 华为,Smartphone,Pura 70,未知+256GB,黑色,未知+256GB
MatePad Pro 2024款,华为,13.2英寸 晶钻白 12GB+512GB WiFi版,13.2英寸 晶钻白 12GB+512GB WiFi版,3,Huawei 华为,Tablet,MatePad Pro 2024,12GB+512GB,白色,12GB+512GB
Apple Watch Series?9,Apple,午夜色运动型表带 S/M 铝金属表壳 41mm GPS版,午夜色运动型表带 S/M 铝金属表壳 41mm GPS版,3,Apple 苹果,Smartphone,Apple Watch Series,未知,金色,未知
iPhone 15（准新）资源机,Apple,绿色 128G,绿色 128G,2,Apple 苹果,Smartphone,iPhone 15,未知+128GB,绿色,未知+128GB
小米 MIX Flip,小米,幻影紫 12+256G,幻影紫 12+256G,9,Xiaomi 小米,Smartphone,MIX Flip,未知+256GB,紫色,未知+256GB
小米 14 Ultra,小米,16+512G 黑色,16+512G 黑色,2,Xiaomi 小米,Smartphone,14 Ultra,未知+512GB,黑色,未知+512GB
华为 Mate 60,华为,Mate 60 南糯紫 标准版 12+512G,Mate 60 南糯紫 标准版 12+512G,1,Huawei 华为,Smartphone,Mate 60,未知+512GB,紫色,未知+512GB
vivo iQOO Z9 Turbo,vivo,曜夜黑 16+256G,曜夜黑 16+256G,2,VIVO,Smartphone,vivo iQOO Z9,未知+256GB,黑色,未知+256GB
荣耀 Magic6 Pro,荣耀,流云紫 16+512G 5G全网通,流云紫 16+512G 5G全网通,2,Honor 荣耀,Smartphone,Magic6 Pro,512GB+5GB,紫色,512GB+5GB
iPhone 16 Pro,Apple,黑色钛金属 512G,黑色钛金属 512G,13,Apple 苹果,Smartphone,iPhone 16 Pro,未知+512GB,黑色,未知+512GB
红魔9S Pro,努比亚（nubia）,暗夜骑士 12+256G,暗夜骑士 12+256G,3,Nubia 努比亚,Smartphone,S Pro,未知+256GB,红色,未知+256GB
华为 WATCH GT 5,华为,幻夜黑 氟橡胶表带 46mm,幻夜黑 氟橡胶表带 46mm,18,Huawei 华为,Smartwatch,WATCH GT 5,未知,黑色,未知
vivo X100 Ultra,vivo,16+1T 专属版  深空灰,16+1T 专属版  深空灰,2,VIVO,Smartphone,vivo X100 Ultra,未知+1024GB,灰色,未知+1024GB
Xiaomi 14 Pro,小米,12+256G 白色,12+256G 白色,3,Xiaomi 小米,Smartphone,Xiaomi 14 Pro,未知+256GB,白色,未知+256GB
realme GT6,realme,风暴紫 16+256G,风暴紫 16+256G,1,Realme 真我,Smartphone,realme GT6,未知+256GB,紫色,未知+256GB
freebuds5至臻版,华为,冰霜银,冰霜银,1,Huawei 华为,Earphone,freebuds5,未知,银色,未知
华为 WATCH GT 5,华为,魅影黑 氟橡胶表带 41mm,魅影黑 氟橡胶表带 41mm,5,Huawei 华为,Smartwatch,WATCH GT 5,未知,黑色,未知
小米 MIX Flip,小米,凤羽纤维 12+256G,凤羽纤维 12+256G,3,Xiaomi 小米,Smartphone,MIX Flip,未知+256GB,凤羽纤维 12+256G,未知+256GB
iPhone 14 Plus,Apple,标准版 (iPhone 14 Plus） 紫色 128G,标准版 (iPhone 14 Plus） 紫色 128G,1,Apple 苹果,Smartphone,iPhone 14 Plus,未知+128GB,紫色,未知+128GB
vivo X Fold3,vivo,薄翼黑 16+512G,薄翼黑 16+512G,1,VIVO,Smartphone,vivo X Fold3,未知+512GB,黑色,未知+512GB
vivo Pad3 Pro,vivo,寒星灰 8GB+128GB,寒星灰 8GB+128GB,1,VIVO,Smartphone,vivo Pad3 Pro,8GB+128GB,灰色,8GB+128GB
iPhone 16 Plus,Apple,256G 黑色,256G 黑色,11,Apple 苹果,Smartphone,iPhone 16 Plus,未知+256GB,黑色,未知+256GB
红米 Note14 Pro,红米,镜瓷白 8+256G,镜瓷白 8+256G,1,Xiaomi 小米,Smartphone,Note14 Pro,未知+256GB,白色,未知+256GB
Redmi K70,红米,浅茄紫 16+256G,浅茄紫 16+256G,1,Xiaomi 小米,Smartphone,Redmi K70,未知+256GB,紫色,未知+256GB
MacBook Air 2024款,Apple,M3/8+10核/8G+256G 15.3英寸 深空灰色,M3/8+10核/8G+256G 15.3英寸 深空灰色,1,Apple 苹果,Computer,MacBook Air 2024,8GB+256GB,灰色,8GB+256GB
iPhone 15 Pro（99新）,Apple,白色钛金属 256G,白色钛金属 256G,19,Apple 苹果,Smartphone,iPhone 15 Pro,未知+256GB,白色,未知+256GB
OPPO Reno12,OPPO,柔和桃 12+256G,柔和桃 12+256G,7,OPPO,Smartphone,OPPO Reno12,未知+256GB,柔和桃 12+256G,未知+256GB
iPhone 15（准新）资源机,Apple,黑色 256G,黑色 256G,3,Apple 苹果,Smartphone,iPhone 15,未知+256GB,黑色,未知+256GB
vivo X100s,vivo,白月光 16+1T 专属版,白月光 16+1T 专属版,2,VIVO,Smartphone,vivo X100,未知+1024GB,白色,未知+1024GB
vivo IQOO Neo9S Pro+,vivo,格斗黑 12+512G,格斗黑 12+512G,1,VIVO,Smartphone,vivo IQOO Neo9,未知+512GB,黑色,未知+512GB
一加Ace3 Pro,一加,绿野素青 12+256G,绿野素青 12+256G,4,OnePlus 一加,Smartphone,Ace3 Pro,未知+256GB,绿色,未知+256GB
Xiaomi 14 Pro,小米,16+1T 黑色,16+1T 黑色,7,Xiaomi 小米,Smartphone,Xiaomi 14 Pro,未知+1024GB,黑色,未知+1024GB
vivo iQOO Z9 Turbo,vivo,星芒白 16+512G,星芒白 16+512G,4,VIVO,Smartphone,vivo iQOO Z9,未知+512GB,白色,未知+512GB
机械革命 旷世G16 Pro 2024,机械革命（MECHREVO）,i7-14650HX/16G/1T/RTX4060/16英寸 灰色,i7-14650HX/16G/1T/RTX4060/16英寸 灰色,1,MECHREVO 机械革命,Smartphone,i7-14650HX/16G/1T/RTX4060/16英寸 灰色,未知+16GB,灰色,未知+16GB
荣耀平板X8 Pro,荣耀,8GB+128GB 星空灰,8GB+128GB 星空灰,1,Honor 荣耀,Smartphone,X8 Pro,8GB+128GB,灰色,8GB+128GB
ThinkPad E14 2023,联想,石墨黑 i5-13500H/16G/512G/集显/14英寸,石墨黑 i5-13500H/16G/512G/集显/14英寸,1,Lenovo 联想,Computer,ThinkPad E14,未知+16GB,黑色,未知+16GB
荣耀200 Pro,荣耀,天海青 16+512G,天海青 16+512G,6,Honor 荣耀,Smartphone,Pro,未知+512GB,天海青 16+512G,未知+512GB
iPad 2022款,Apple,WiFi版 64G 标准版（iPad 2022） 10.9英寸 银色,WiFi版 64G 标准版（iPad 2022） 10.9英寸 银色,11,Apple 苹果,Smartphone,iPad 2022,未知+64GB,银色,未知+64GB
华为 WATCH GT2 Pro,华为, 曜石黑, 曜石黑,3,Huawei 华为,Smartwatch,WATCH GT2 Pro,未知,黑色,未知
华为 FreeLace pro,华为,无线充版 曜石黑,无线充版 曜石黑,1,Huawei 华为,Smartphone,FreeLace pro,未知,黑色,未知
小米14 Ultra (95新),小米,白色 12+256G,白色 12+256G,1,Xiaomi 小米,Smartphone,Ultra,未知+256GB,白色,未知+256GB
荣耀 Magic6,荣耀,绒黑色 16+512G 5G全网通,绒黑色 16+512G 5G全网通,2,Honor 荣耀,Smartphone,Magic6,512GB+5GB,黑色,512GB+5GB
荣耀 Magic6,荣耀,绒黑色 5G全网通 12+256G,绒黑色 5G全网通 12+256G,1,Honor 荣耀,Smartphone,Magic6,未知+5GB,黑色,未知+5GB
荣耀平板8,荣耀,4GB+128GB WIFI版 标准版 曙光蓝,4GB+128GB WIFI版 标准版 曙光蓝,1,Honor 荣耀,Smartphone,4GB+128GB,4GB+128GB,蓝色,4GB+128GB
联想 小新Pro16 2024,联想,R7-8845H/32G/1T/集显/16英寸/AI元启 鸽子灰,R7-8845H/32G/1T/集显/16英寸/AI元启 鸽子灰,3,Lenovo 联想,Computer,R7-8845H/32G/1T/集显/16英寸/AI元启 鸽子灰,未知+32GB,灰色,未知+32GB
雷神 猎刃16 2024,雷神(ThundeRobot),i7-13650HX/16G/512G/RTX4060/16英寸 灰色,i7-13650HX/16G/512G/RTX4060/16英寸 灰色,1,ThundeRobot 雷神,Smartphone,i7-13650HX/16G/512G/RTX4060/16英寸 灰色,未知+16GB,灰色,未知+16GB
联想 小新Pro16 2024,联想,鸽子灰 R7-8845H/16G/1T/集显/16英寸,鸽子灰 R7-8845H/16G/1T/集显/16英寸,1,Lenovo 联想,Computer,鸽子灰 R7-8845H/16G/1T/集显/16英寸,未知+16GB,灰色,未知+16GB
红米 Note14,红米,子夜黑 12+256G,子夜黑 12+256G,1,Xiaomi 小米,Smartphone,Note14,未知+256GB,黑色,未知+256GB
小米 13,小米,标准版 12+256G 白色,标准版 12+256G 白色,3,Xiaomi 小米,Smartphone,13,未知+256GB,白色,未知+256GB
魅族 21 Pro,魅族,16+512G 冰川蓝,16+512G 冰川蓝,2,Meizu 魅族,Smartphone,21 Pro,未知+512GB,蓝色,未知+512GB
华为MatePad Air 2023款,华为,8GB+128GB WIFI版  曜石黑,8GB+128GB WIFI版  曜石黑,2,Huawei 华为,Tablet,MatePad Air 2023,8GB+128GB,黑色,8GB+128GB
华为 MatePad Pro 2023款,华为,12GB+512GB WIFI版 13.2英寸 曜金黑,12GB+512GB WIFI版 13.2英寸 曜金黑,3,Huawei 华为,Tablet,MatePad Pro 2023,12GB+512GB,黑色,12GB+512GB
华为 Pura 70 Ultra,华为,公开零售版 摩卡棕 16+512G,公开零售版 摩卡棕 16+512G,1,Huawei 华为,Smartphone,Pura 70 Ultra,未知+512GB,公开零售版 摩卡棕 16+512G,未知+512GB
AirPods 3,apple,白色 标配,白色 标配,2,Apple 苹果,Smartphone,AirPods 3,未知,白色,未知
vivo X100s Pro,vivo,白月光 专属版 12+256G,白月光 专属版 12+256G,1,VIVO,Smartphone,vivo X100,未知+256GB,白色,未知+256GB
红米 Note14 Pro+,红米,子夜黑 16+512G,子夜黑 16+512G,4,Xiaomi 小米,Smartphone,Note14 Pro,未知+512GB,黑色,未知+512GB
机械革命 旷世G15 Pro,机械革命（MECHREVO）,i7-13620H/16G/512G/RTX4060/15.6英寸/100%sRGB色域/165Hz 灰色,i7-13620H/16G/512G/RTX4060/15.6英寸/100%sRGB色域/165Hz 灰色,1,MECHREVO 机械革命,Smartphone,i7-13620H/16G/512G/RTX4060/15.6英寸/100%sRGB色域/165Hz 灰色,未知+16GB,灰色,未知+16GB
华为 畅享70,华为,曜金黑 256G,曜金黑 256G,1,Huawei 华为,Smartphone,畅享 70,未知+256GB,黑色,未知+256GB
红米K70至尊版,红米,冰璃蓝 16+1T,冰璃蓝 16+1T,4,Xiaomi 小米,Smartphone,K70,未知+1024GB,蓝色,未知+1024GB
华硕 ROG枪神7（准新机）,华硕,i9-13980HX/16G/1T/RTX4070/16英寸 黑色,i9-13980HX/16G/1T/RTX4070/16英寸 黑色,1,Asus 华硕,Smartphone,ROG,未知+16GB,黑色,未知+16GB
华为 Mate 60,华为,Mate 60 白沙银 标准版 12+512G,Mate 60 白沙银 标准版 12+512G,1,Huawei 华为,Smartphone,Mate 60,未知+512GB,白色,未知+512GB
vivo X Fold3 Pro,vivo,薄翼黑 16+512G,薄翼黑 16+512G,3,VIVO,Smartphone,vivo X Fold3 Pro,未知+512GB,黑色,未知+512GB
华为 Mate 60 Pro,华为,12+1T 白沙银 标准版,12+1T 白沙银 标准版,4,Huawei 华为,Smartphone,Mate 60 Pro,未知+1024GB,白色,未知+1024GB
联想 拯救者Y9000P（二手）,联想,i9-12900H/16G/512G/RTX3060/16英寸 冰魄白,i9-12900H/16G/512G/RTX3060/16英寸 冰魄白,1,Lenovo 联想,Computer,i9-12900H/16G/512G/RTX3060/16英寸 冰魄白,未知+16GB,白色,未知+16GB
Redmi K70,红米,晴雪 16+512G,晴雪 16+512G,3,Xiaomi 小米,Smartphone,Redmi K70,未知+512GB,晴雪 16+512G,未知+512GB
vivo S19Pro,vivo,千山翠 16+512G,千山翠 16+512G,1,VIVO,Smartphone,vivo S19Pro,未知+512GB,千山翠 16+512G,未知+512GB
vivo IQOO Neo9S Pro+,vivo,星曜白 16+256G,星曜白 16+256G,1,VIVO,Smartphone,vivo IQOO Neo9,未知+256GB,白色,未知+256GB
OPPO Reno12,OPPO,柔和桃 16+256G,柔和桃 16+256G,3,OPPO,Smartphone,OPPO Reno12,未知+256GB,柔和桃 16+256G,未知+256GB
华为MatePad SE 2023款,华为,6GB+128GB WIFI版  曜石黑,6GB+128GB WIFI版  曜石黑,1,Huawei 华为,Tablet,MatePad SE 2023,6GB+128GB,黑色,6GB+128GB
vivo X100s Pro,vivo,钛色 专属版 12+256G,钛色 专属版 12+256G,4,VIVO,Smartphone,vivo X100,未知+256GB,钛色 专属版 12+256G,未知+256GB
三星 Galaxy S24 Ultra,三星,钛灰 12+512G,钛灰 12+512G,4,Samsung 三星,Smartphone,Galaxy S24 Ultra,未知+512GB,灰色,未知+512GB
MatePad Pro 2024款,华为,13.2英寸 12GB+256GB WiFi版 曜金黑,13.2英寸 12GB+256GB WiFi版 曜金黑,2,Huawei 华为,Tablet,MatePad Pro 2024,12GB+256GB,黑色,12GB+256GB
华为 MatePad Pro 12.6英寸,华为,12GB+256GB WIFI版 曜金黑,12GB+256GB WIFI版 曜金黑,1,Huawei 华为,Tablet,MatePad Pro 12,12GB+256GB,黑色,12GB+256GB
iPhone 16 Plus,Apple,黑色 512G,黑色 512G,5,Apple 苹果,Smartphone,iPhone 16 Plus,未知+512GB,黑色,未知+512GB
Apple Watch Ultra 2,Apple,M/L 绿配灰色野径回环式表带 钛金属表壳 49MM 蜂窝+GPS版,M/L 绿配灰色野径回环式表带 钛金属表壳 49MM 蜂窝+GPS版,1,Apple 苹果,Smartphone,Apple Watch Ultra 2,未知,绿色,未知
iPhone 16 Plus,Apple,群青 512G,群青 512G,1,Apple 苹果,Smartphone,iPhone 16 Plus,未知+512GB,群青 512G,未知+512GB
vivo X Fold3,vivo,薄翼黑 16+256G,薄翼黑 16+256G,3,VIVO,Smartphone,vivo X Fold3,未知+256GB,黑色,未知+256GB
vivo IQOO Neo9S Pro+,vivo,Buff蓝 12+512G,Buff蓝 12+512G,1,VIVO,Smartphone,vivo IQOO Neo9,未知+512GB,蓝色,未知+512GB
华硕 天选4,华硕,i7-13620H/16G/512GSSD/RTX4060 8G独显/144Hz/100% sRGB/日蚀灰,i7-13620H/16G/512GSSD/RTX4060 8G独显/144Hz/100% sRGB/日蚀灰,5,Asus 华硕,Computer,i7-13620H/16G/512GSSD/RTX4060 8G独显/144Hz/100% sRGB/日蚀灰,未知+16GB,灰色,未知+16GB
华为 Pura 70 Ultra,华为,公开零售版 星芒白 16+1T,公开零售版 星芒白 16+1T,1,Huawei 华为,Smartphone,Pura 70 Ultra,未知+1024GB,白色,未知+1024GB
三星 Galaxy S24 Ultra,三星,12+1T  钛黑,12+1T  钛黑,2,Samsung 三星,Smartphone,Galaxy S24 Ultra,未知+1024GB,黑色,未知+1024GB
vivo X100 Ultra,vivo,白月光 专属版 12+256G,白月光 专属版 12+256G,2,VIVO,Smartphone,vivo X100 Ultra,未知+256GB,白色,未知+256GB
联想 小新Pro16 2024,联想,Ultra 5 125H/16G/1T/锐炫/16英寸 鸽子灰,Ultra 5 125H/16G/1T/锐炫/16英寸 鸽子灰,2,Lenovo 联想,Computer,Ultra 5 125H/16G/1T/锐炫/16英寸 鸽子灰,未知+16GB,灰色,未知+16GB
vivo S19Pro,vivo,烟雨青 12+256G,烟雨青 12+256G,2,VIVO,Smartphone,vivo S19Pro,未知+256GB,烟雨青 12+256G,未知+256GB
三星 Galaxy S24 Ultra,三星,钛暮紫 12+512G,钛暮紫 12+512G,2,Samsung 三星,Smartphone,Galaxy S24 Ultra,未知+512GB,紫色,未知+512GB
iPad Air 2024款 11英寸,Apple,WiFi版 512G 紫色,WiFi版 512G 紫色,4,Apple 苹果,Smartphone,iPad Air 2024,未知+512GB,紫色,未知+512GB
iPad 2021款,apple,WiFi版 256G 深空灰色 10.2英寸,WiFi版 256G 深空灰色 10.2英寸,4,Apple 苹果,Smartphone,iPad 2021,未知+256GB,灰色,未知+256GB
iPhone 15（准新）资源机,Apple,粉色 128G,粉色 128G,4,Apple 苹果,Smartphone,iPhone 15,未知+128GB,粉色 128G,未知+128GB
iPad Air 2024款 13英寸,Apple,WiFi版 256G 深空灰,WiFi版 256G 深空灰,2,Apple 苹果,Smartphone,iPad Air 2024,未知+256GB,灰色,未知+256GB
红米 Note14 Pro,红米,镜瓷白 8+128G,镜瓷白 8+128G,2,Xiaomi 小米,Smartphone,Note14 Pro,未知+128GB,白色,未知+128GB
荣耀200 Pro,荣耀,绒黑色 12+512G,绒黑色 12+512G,2,Honor 荣耀,Smartphone,Pro,未知+512GB,黑色,未知+512GB
荣耀 X60i,荣耀,12+512G 幻夜黑,12+512G 幻夜黑,1,Honor 荣耀,Smartphone,X60,未知+512GB,黑色,未知+512GB
红米 Note14 Pro+,红米,镜瓷白 12+512G,镜瓷白 12+512G,1,Xiaomi 小米,Smartphone,Note14 Pro,未知+512GB,白色,未知+512GB
MacBook Air 2024款,Apple,M3/8+8核/8G+256G 13.6英寸 星光色,M3/8+8核/8G+256G 13.6英寸 星光色,1,Apple 苹果,Computer,MacBook Air 2024,8GB+256GB,M3/8+8核/8G+256G 13.6英寸 星光色,8GB+256GB
联想小新Pro14  2023款,联想（Lenovo）,鸽子灰 i5-13500H/16G/1T/集显/14英寸,鸽子灰 i5-13500H/16G/1T/集显/14英寸,2,Lenovo 联想,Computer,Pro14,未知+16GB,灰色,未知+16GB
iPhone 16 Pro Max 全新国行正品,Apple,256GB,黑色钛金属,2,Apple 苹果,Smartphone,iPhone 16 Pro,未知+256GB,黑色,未知+256GB
首月1元 iPhone 16 Pro Max国行正品 现货速发 顺丰包邮,Apple,256GB,白色钛金属,2,Apple 苹果,Smartphone,iPhone 16 Pro,未知+256GB,白色,未知+256GB
iPhone16 Pro Max 国行正品  顺丰包邮 租机免审 当天发货,Apple,256GB,白色钛金属,2,Apple 苹果,Smartphone,iPhone16 Pro,未知+256GB,白色,未知+256GB
iPhone 16 Pro Max 全新国行正品,Apple,256GB,原色钛金属,1,Apple 苹果,Smartphone,iPhone 16 Pro,未知+256GB,金色,未知+256GB
iPhone 16 Pro Max 全新国行正品 顺丰包邮,Apple,256GB,原色钛金属,10,Apple 苹果,Smartphone,iPhone 16 Pro,未知+256GB,金色,未知+256GB
荣耀 Magic V3 折叠屏手机  第三代青海湖电池,荣耀（HONOR）,16GB+512GB,祁连雪,1,Honor 荣耀,Smartphone,Magic V3,16GB+512GB,祁连雪,16GB+512GB
iPhone 16 Pro Max 全新国行正品 顺丰包邮,Apple,512GB,白色钛金属,8,Apple 苹果,Smartphone,iPhone 16 Pro,未知+512GB,白色,未知+512GB
iPhone 16 Pro 全新国行正品 顺丰包邮,Apple,512GB,白色钛金属,1,Apple 苹果,Smartphone,iPhone 16 Pro,未知+512GB,白色,未知+512GB
首月1元 iPhone 16 Pro Max国行正品 现货速发 顺丰包邮,Apple,512GB,原色钛金属,1,Apple 苹果,Smartphone,iPhone 16 Pro,未知+512GB,金色,未知+512GB
全新 iPhone 15 Pro Max  新品首发 5G全网通 钛合金金属边框,Apple,256GB,原色钛金属,1,Apple 苹果,Smartphone,iPhone 15 Pro,未知+256GB,金色,未知+256GB
荣耀 Magic V3 折叠屏手机  第三代青海湖电池,荣耀（HONOR）,16GB+512GB,苔原绿,1,Honor 荣耀,Smartphone,Magic V3,16GB+512GB,绿色,16GB+512GB
iPhone 16 Pro Max 全新国行正品 顺丰包邮,Apple,512GB,沙漠色钛金属,6,Apple 苹果,Smartphone,iPhone 16 Pro,未知+512GB,金色,未知+512GB
苹果15 Pro【首月1元】,Apple,256GB,白色钛金属,5,Apple 苹果,Smartphone,Pro,未知+256GB,白色,未知+256GB
iPhone 16 Pro Max 全新国行正品 顺丰包邮,Apple,1TB,沙漠色钛金属,1,Apple 苹果,Smartphone,iPhone 16 Pro,未知+1024GB,金色,未知+1024GB
全新 iPhone 15 Pro Max  新品首发 5G全网通 钛合金金属边框,Apple,256GB,黑色钛金属,1,Apple 苹果,Smartphone,iPhone 15 Pro,未知+256GB,黑色,未知+256GB
Apple iPhone 16 Pro Max,Apple,256G,沙漠色钛金属,351,Apple 苹果,Smartphone,Apple iPhone 16 Pro,未知+256GB,金色,未知+256GB
iPhone 16 Plus,Apple,群青 128G,群青 128G,3,Apple 苹果,Smartphone,iPhone 16 Plus,未知+128GB,群青 128G,未知+128GB
红米 Note14,红米,子夜黑 8+256G,子夜黑 8+256G,1,Xiaomi 小米,Smartphone,Note14,未知+256GB,黑色,未知+256GB
OPPO Reno12 Pro,OPPO,16+512G 香槟金,16+512G 香槟金,2,OPPO,Smartphone,OPPO Reno12 Pro,未知+512GB,金色,未知+512GB
OPPO Reno12,OPPO,乌木黑 12+512G,乌木黑 12+512G,3,OPPO,Smartphone,OPPO Reno12,未知+512GB,黑色,未知+512GB
华为 MateBook D16 2024,华为,i7-13700H/16G/1T/集显/16英寸 深空灰,i7-13700H/16G/1T/集显/16英寸 深空灰,4,Huawei 华为,Computer,MateBook D16,未知+16GB,灰色,未知+16GB
iPhone 14,Apple,标准版 (iPhone 14) 午夜色 256G,标准版 (iPhone 14) 午夜色 256G,1,Apple 苹果,Smartphone,iPhone 14,未知+256GB,标准版 (iPhone 14) 午夜色 256G,未知+256GB
Apple iPhone 16 Pro Max,Apple,256G,白色钛金属,612,Apple 苹果,Smartphone,Apple iPhone 16 Pro,未知+256GB,白色,未知+256GB
Apple iPhone 16 Pro,Apple,512G,白色钛金属,26,Apple 苹果,Smartphone,Apple iPhone 16 Pro,未知+512GB,白色,未知+512GB
Apple iPhone 16 Pro Max,Apple,512G,沙漠色钛金属,405,Apple 苹果,Smartphone,Apple iPhone 16 Pro,未知+512GB,金色,未知+512GB
Apple iPhone 16 Pro Max,Apple,512G,白色钛金属,778,Apple 苹果,Smartphone,Apple iPhone 16 Pro,未知+512GB,白色,未知+512GB
Apple iPhone 16 Pro Max,Apple,512G,黑色钛金属,252,Apple 苹果,Smartphone,Apple iPhone 16 Pro,未知+512GB,黑色,未知+512GB
Apple iPhone 16 Pro Max,Apple,256G,原色钛金属,223,Apple 苹果,Smartphone,Apple iPhone 16 Pro,未知+256GB,金色,未知+256GB
Apple iPhone 16 Pro Max,Apple,512G,原色钛金属,321,Apple 苹果,Smartphone,Apple iPhone 16 Pro,未知+512GB,金色,未知+512GB
Apple iPhone 16 Pro,Apple,256G,白色钛金属,34,Apple 苹果,Smartphone,Apple iPhone 16 Pro,未知+256GB,白色,未知+256GB
Apple iPhone 16 Pro,Apple,256G,原色钛金属,13,Apple 苹果,Smartphone,Apple iPhone 16 Pro,未知+256GB,金色,未知+256GB
Apple iPhone 16,Apple,256G,群青色,1,Apple 苹果,Smartphone,Apple iPhone 16,未知+256GB,群青色,未知+256GB
联想小新pro16 2023款,联想（Lenovo）,i5-13500H/16G/1T/集显/16英寸 灰色,i5-13500H/16G/1T/集显/16英寸 灰色,4,Lenovo 联想,Computer,pro16,未知+16GB,灰色,未知+16GB
荣耀Magic V Flip,荣耀,香槟粉 12+512G,香槟粉 12+512G,2,Honor 荣耀,Smartphone,Magic V Flip,未知+512GB,香槟粉 12+512G,未知+512GB
华为 FreeBuds Pro 3,华为,陶瓷白,陶瓷白,1,Huawei 华为,Earphone,FreeBuds Pro 3,未知,白色,未知
红米 Note14 Pro,红米,子夜黑 12+256G,子夜黑 12+256G,1,Xiaomi 小米,Smartphone,Note14 Pro,未知+256GB,黑色,未知+256GB
