pro_title,pro_brand,pro_model,pro_color,数量,cleaned_title,standard_model
vivo X200 Pro mini,vivo,简黑 16+1T,简黑 16+1T,1.0,vivo X20 0 Pro mini,vivo X200 Pro
魅族 Lucky 08,魅族,星耀白 12+256G,星耀白 12+256G,1.0,魅族 Lucky 08,魅族 Lucky 08
vivo X200,vivo,白月光 12+256G,白月光 12+256G,6.0,vivo X200,vivo X200
iPhone 15,苹果,iPhone 15,绿色,1.0,iPhone 15,iPhone 15
iPhone 16,苹果,iPhone 16,黑色,8.0,iPhone 16,iPhone 16
华为Mate60Pro,华为,Mate 60 Pro,雅川青,3.0,华为 Mate Mate 60 Pro,华为 Mate 60
荣耀 X60 Pro,荣耀,燃橙色 8+128G,燃橙色 8+128G,1.0,荣耀 X60 Pro,荣耀 X60 Pro
小米 15 Pro,小米,16+1T 白色,16+1T 白色,13.0,小米 15 Pro,小米 15 Pro
MacBook Air 2024款,Apple,M3/8+10核/16G+512G 15.3英寸 银色,M3/8+10核/16G+512G 15.3英寸 银色,2.0,MacBook Air 2024款,MacBook Air 2024款
首月1元 iPhone 16 Pro Max 现货速发 顺丰包邮,Apple,512GB,原色钛金属,26.0,iPhone 16 Pro Max 现货速发,iPhone 16 Pro Max
iPhone 16 Pro【首月1元】,Apple,128GB,黑色钛金属,6.0,iPhone 16 Pro,iPhone 16 Pro
iPad Pro 2024款 M4芯片 新款苹果平板电脑,Apple,13英寸256GB 无线局域网机型,银色,3.0,iPad Pro 2024款 M4芯片 新款苹果平板电脑,iPad Pro 2024款
三星 Galaxy Z Fold6 AI智能影像 超轻薄折叠大屏商务手机,三星（SAMSUNG）,12GB+512GB,星夜银,1.0,三星 Galaxy Z Fold 6 AI智能影像 超轻薄折叠大屏商务手机,三星 Galaxy Z Fold 6
首月1元 iPhone 16 Pro Max 现货速发 顺丰包邮,Apple,256GB,白色钛金属,51.0,iPhone 16 Pro Max 现货速发,iPhone 16 Pro Max
iPhone 16 Pro Max全新国行正品 信用免押 顺丰包邮,Apple,256GB,沙漠色钛金属,2.0,iPhone 16 Pro Max正品 信用免押,iPhone 16 Pro Max
iPhone 16 Pro【首月1元】,Apple,512GB,原色钛金属,10.0,iPhone 16 Pro,iPhone 16 Pro
全新iPhone 15 Pro Max  5G全网通 钛合金金属边框,Apple,512GB,黑色钛金属,1.0,全新iPhone 15 Pro Max  钛合金金属边框,iPhone 15 Pro Max
iPhone 16【首月1元】,Apple,128GB,白色,1.0,iPhone 16,iPhone 16
三星 Galaxy Z Flip6,三星,夏沫蓝 12+512G,夏沫蓝 12+512G,2.0,三星 Galaxy Z Flip 6,三星 Galaxy Z Flip 6
vivo iQOO 13,vivo,16+512G 传奇版,16+512G 传奇版,12.0,vivo iQOO 13,vivo iQOO 13
vivo iQOO 13,vivo,纳多灰 16+256G,纳多灰 16+256G,5.0,vivo iQOO 13,vivo iQOO 13
荣耀 手表4,荣耀（非手机）,云水蓝,云水蓝,1.0,荣耀 手表4,未匹配: 荣耀 手表4
荣耀 X60 Pro,荣耀,典雅黑 12+256G,典雅黑 12+256G,2.0,荣耀 X60 Pro,荣耀 X60 Pro
vivo X100s Pro,vivo,钛色  钛色 专属版 专属版 16+512G 16+512G,钛色  钛色 专属版 专属版 16+512G 16+512G,1.0,vivo X100 s Pro,vivo X100
小米 15,小米,16+512G 黑色,16+512G 黑色,7.0,小米 15,小米 15
华为 Nova 13 Pro,华为,羽砂白 512G,羽砂白 512G,2.0,华为 Nova 13 Pro,未匹配: 华为 Nova 13 Pro
荣耀 Magic7 Pro,荣耀,月影灰 16+512G,月影灰 16+512G,4.0,荣耀 Magic7 Pro,荣耀 Magic7 Pro
荣耀 X60i,荣耀,珊瑚紫 8+256G,珊瑚紫 8+256G,1.0,荣耀 X60i,荣耀 X60i
OPPO Find X8 Pro,OPPO,漫步云端 12+256G,漫步云端 12+256G,3.0,OPPO Find X8 Pro,OPPO Find X8 Pro
vivo X200,vivo,钛色 12+512G,钛色 12+512G,1.0,vivo X200,vivo X200
荣耀 X60 Pro,荣耀,天海青 12+512G,天海青 12+512G,1.0,荣耀 X60 Pro,荣耀 X60 Pro
华为 MatePad SE 11英寸 2024款,华为,WiFi 8GB+128GB 活力版 星云灰,WiFi 8GB+128GB 活力版 星云灰,4.0,华为 MatePad SE 11英寸 2024款,华为 MatePad
小米 15,小米,12+256G 白色,12+256G 白色,8.0,小米 15,小米 15
荣耀 Magic7 Pro,荣耀,月影灰 12+256G,月影灰 12+256G,6.0,荣耀 Magic7 Pro,荣耀 Magic7 Pro
小米 15,小米,16+1T 白色,16+1T 白色,3.0,小米 15,小米 15
小米 15,小米,12+512G 黑色,12+512G 黑色,1.0,小米 15,小米 15
小米 15 Pro,小米,12+256G 白色,12+256G 白色,6.0,小米 15 Pro,小米 15 Pro
华为 Nova 13 Pro,华为,羽砂紫 256G,羽砂紫 256G,1.0,华为 Nova 13 Pro,未匹配: 华为 Nova 13 Pro
vivo X200 Pro mini,vivo,钛青 12+256G,钛青 12+256G,1.0,vivo X20 0 Pro mini,vivo X200 Pro
vivo X200 Pro,vivo,辰夜黑 16+1T,辰夜黑 16+1T,1.0,vivo X20 0 Pro,vivo X200 Pro
vivo X200 Pro mini,vivo,直白 12+256G,直白 12+256G,4.0,vivo X20 0 Pro mini,vivo X200 Pro
荣耀 X60 Pro,荣耀,燃橙色 12+256G,燃橙色 12+256G,3.0,荣耀 X60 Pro,荣耀 X60 Pro
荣耀平板X8,荣耀,6GB+128GB 曙光蓝,6GB+128GB 曙光蓝,1.0,荣耀 平板X8,未匹配: 荣耀 平板X8
小米 Pad 7 Pro,小米,11.2英寸 青衫绿 WiFi 8GB+256GB,11.2英寸 青衫绿 WiFi 8GB+256GB,1.0,小米 Pad 7 Pro,小米 平板 7 Pro
荣耀 平板9,荣耀,12GB+512GB 天青色,12GB+512GB 天青色,1.0,荣耀 平板9,未匹配: 荣耀 平板9
vivo X200 Pro mini,vivo,简黑 12+256G,简黑 12+256G,1.0,vivo X20 0 Pro mini,vivo X200 Pro
vivo S19 Pro,VIVO,vivo S19 Pro,烟雨青,1.0,vivo S1 9 Pro,vivo S19Pro
iPhone 16 Plus,苹果,iPhone 16 Plus,黑色,2.0,iPhone 16 Plus,iPhone 16 Plus
华为Mate60Pro,华为,Mate 60 Pro,白沙银,6.0,华为 Mate Mate 60 Pro,华为 Mate 60
小米 15 Pro,小米,16+512G 白色,16+512G 白色,6.0,小米 15 Pro,小米 15 Pro
iPhone 16 Plus,苹果,iPhone 16 Plus,粉色,1.0,iPhone 16 Plus,iPhone 16 Plus
华为Mate60Pro,华为,Mate 60 Pro,雅丹黑,7.0,华为 Mate Mate 60 Pro,华为 Mate 60
vivo X100s,VIVO,vivo X100s,青云,2.0,vivo X100 s,vivo X100
华为nova12活力版,华为,华为 nova12 活力版,12号色,1.0,华为 nova12活力版,华为 nova 12 活力版
首月1元iPhone16 Pro Max 国行正品  顺丰包邮 租机免审 当天发货,Apple,256GB,黑色钛金属,3.0,iPhone16 Pro Max  租机免审 当天发货,iPhone 16 Pro Max
首月1元iPhone16 Pro Max 国行正品  顺丰包邮 租机免审 当天发货,Apple,512GB,黑色钛金属,3.0,iPhone16 Pro Max  租机免审 当天发货,iPhone 16 Pro Max
首月1元 iPhone16 Pro  国行正品 现货速发 顺丰包邮,Apple,256GB,原色钛金属,1.0,iPhone16 Pro  现货速发,iPhone 16 Pro Max
HUAWEI Pura 70 Ultra 超聚光伸缩摄像头 超高速风驰闪拍 双卫星通信,华为（HUAWEI）,16GB+512GB,香颂绿,1.0,华为 Pura 70 Ultra 超聚光伸缩摄像头 超高速风驰闪拍 双卫星通信,华为 Pura 70 Ultra
荣耀 Magic7 Pro,荣耀,月影灰 16+1T,月影灰 16+1T,5.0,荣耀 Magic7 Pro,荣耀 Magic7 Pro
小米 15,小米,丁香紫 12+256G,丁香紫 12+256G,2.0,小米 15,小米 15
MacBook Air 2022款,Apple,M2/8+8核/8G+256G 13.6英寸 午夜色,M2/8+8核/8G+256G 13.6英寸 午夜色,1.0,MacBook Air 2022款,MacBook Air 2022款
小米 Pad 6S Pro 12.4,小米,12GB+256GB 黑色,12GB+256GB 黑色,3.0,小米 Pad 6S Pro 12.4,小米 Pad 6S Pro 12.4
小米 15 Pro,小米,云杉绿 16+512G,云杉绿 16+512G,9.0,小米 15 Pro,小米 15 Pro
小米 15 Pro,小米,岩石灰 12+256G,岩石灰 12+256G,2.0,小米 15 Pro,小米 15 Pro
Apple iPad mini 2024款,Apple,8.3英寸 WiFi版 256G 蓝色,8.3英寸 WiFi版 256G 蓝色,1.0,Apple iPad mini 2024款,iPad mini 2024
OPPO Pad 3 Pro,OPPO,12.1英寸 晨曦金 WiFi 16GB+512G,12.1英寸 晨曦金 WiFi 16GB+512G,1.0,OPPO Pad 3 Pro,OPPO Pad 3 Pro
Apple Watch Series?9,Apple,午夜色运动型表带 S/M 铝金属表壳 蜂窝+GPS版 41mm,午夜色运动型表带 S/M 铝金属表壳 蜂窝+GPS版 41mm,2.0,Apple Watch Series?9,Apple Watch Series 9
小米 15,小米,丁香紫 16+512G,丁香紫 16+512G,2.0,小米 15,小米 15
小米 15 Pro,小米,亮银版 16+1T,亮银版 16+1T,2.0,小米 15 Pro,小米 15 Pro
华为 Watch3 Pro,华为,48mm-时尚款 棕色真皮表带,48mm-时尚款 棕色真皮表带,2.0,华为 Watch3 Pro,未匹配: 华为 Watch3 Pro
MacBook 99新 2022款 MacBook Air 13寸（M2芯片）,MacBook,8G+512G,深空灰,1.0,MacBook 99新 2022款 MacBook Air 13寸,MacBook Air
Apple iPhone 16 Plus,Apple,256G,白色,2.0,Apple iPhone 16 Plus,iPhone 16 Plus
华为 MatePad SE 11英寸 2024款,华为,WiFi 8GB+256GB 星云灰,WiFi 8GB+256GB 星云灰,2.0,华为 MatePad SE 11英寸 2024款,华为 MatePad
华硕 无畏Pro15 2024,华硕,Ultra 7 155H/32G/1T/锐炫/15.6英寸 蓝色,Ultra 7 155H/32G/1T/锐炫/15.6英寸 蓝色,1.0,华硕 无畏Pro15 2024款,未匹配: 华硕 无畏Pro15 2024款
Apple iPad mini 2024款,Apple,8.3英寸 深空灰色 WiFi版 512G,8.3英寸 深空灰色 WiFi版 512G,1.0,Apple iPad mini 2024款,iPad mini 2024
华为 nova 12 前置6000万4K超广角人像,华为（HUAWEI）,8GB+256GB,樱语白,1.0,华为 nova 12 前置6000款万4K超广角人像,未匹配: 华为 nova 12 前置6000款万4K超广角人像
苹果15【首月1元】,Apple,128GB,蓝色,1.0,苹果15,未匹配: 苹果15
首月1元 iPhone 16 Pro全新国行正品 现货速发 顺丰包邮,Apple,512GB,黑色钛金属,2.0,iPhone 16 Pro正品 现货速发,iPhone 16 Pro Max
iPhone 16 Pro【首月1元】,Apple,256GB,白色钛金属,7.0,iPhone 16 Pro,iPhone 16 Pro
华硕 灵耀14 2024,华硕,Ultra 9 185H/32G/1TB/锐炫/14英寸 冰川银,Ultra 9 185H/32G/1TB/锐炫/14英寸 冰川银,1.0,华硕 灵耀14 2024款,未匹配: 华硕 灵耀14 2024款
vivo iQOO 13,vivo,纳多灰 16+512G,纳多灰 16+512G,3.0,vivo iQOO 13,vivo iQOO 13
MacBook Air 2022款,Apple,M2/8+8核/8G+256G 13.6英寸 银色,M2/8+8核/8G+256G 13.6英寸 银色,1.0,MacBook Air 2022款,MacBook Air 2022款
Apple Watch Ultra 2,Apple,S/M 绿配灰色野径回环式表带 钛金属表壳 49MM 蜂窝+GPS版,S/M 绿配灰色野径回环式表带 钛金属表壳 49MM 蜂窝+GPS版,1.0,Apple Watch Ultra 2,Apple Watch Ultra 2
Galaxy Z Fold6,三星,Galaxy Z Fold6,星夜银,1.0,Galaxy Z Fold 6,三星 Galaxy Z Fold 6
首月1元iPhone16 Pro Max 国行正品  顺丰包邮 租机免审 当天发货,Apple,1TB,原色钛金属,1.0,iPhone16 Pro Max  租机免审 当天发货,iPhone 16 Pro Max
苹果15PM手表组合装,Apple,256GB,白色钛金属,3.0,苹果15PM手表组合装,未匹配: 苹果15PM手表组合装
iPhone 16 Pro【首月1元】,Apple,128GB,沙漠色钛金属,2.0,iPhone 16 Pro,iPhone 16 Pro
iPhone 16 Pro全新国行正品 信用免押 顺丰包邮,Apple,256GB,沙漠色钛金属,1.0,iPhone 16 Pro正品 信用免押,iPhone 16 Pro Max
Apple/苹果 AirPods Max,Apple,官方标配,紫色,1.0,Apple/苹果 AirPods Max,AirPods Max 第一代
全新  iPhone 15 Pro 新品首发 5G全网通 钛合金金属边框,Apple,256GB,白色钛金属,1.0,全新 iPhone 15 Pro 新品首发 钛合金金属边框,iPhone 15 Pro Max
华为 MatePad Air 12英寸 2024款,华为,12英寸 烟云灰 WiFi 8GB+256GB,12英寸 烟云灰 WiFi 8GB+256GB,3.0,华为 MatePad Air 12英寸 2024款,华为 MatePad
华为 MateBook E Go,华为,16GB+512GB WIFI 星云灰,16GB+512GB WIFI 星云灰,1.0,华为 MateBook E Go,未匹配: 华为 MateBook E Go
惠普暗影精灵9 2023款,惠普（HP）,i9-13900HX/16G/1TB固态/RTX4060/16.1英寸/240Hz 陨石黑,i9-13900HX/16G/1TB固态/RTX4060/16.1英寸/240Hz 陨石黑,1.0,惠普 暗影精灵9 2023款,未匹配: 惠普 暗影精灵9 2023款
华为 MatePad Pro 11英寸 2024款,华为,星河蓝 WiFi 12GB+256GB,星河蓝 WiFi 12GB+256GB,1.0,华为 MatePad Pro 11英寸 2024款,华为 MatePad Pro
MatePad Pro 2024款,华为,晶钻白 12GB+256GB WiFi版,晶钻白 12GB+256GB WiFi版,1.0,MatePad Pro 2024款,华为 MatePad Pro 2024款
联想 小新Pro14 2024,联想,鸽子灰 Ultra 5 125H/32G/1T/锐炫/14英寸,鸽子灰 Ultra 5 125H/32G/1T/锐炫/14英寸,1.0,联想 小新Pro14 2024款,未匹配: 联想 小新Pro14 2024款
Apple iPad mini 2024款,Apple,8.3英寸 蜂窝版 256G 蓝色,8.3英寸 蜂窝版 256G 蓝色,1.0,Apple iPad mini 2024款,iPad mini 2024
Apple Watch Series?9,Apple,星光色运动型表带 M/L 铝金属表壳 45mm 蜂窝+GPS版,星光色运动型表带 M/L 铝金属表壳 45mm 蜂窝+GPS版,1.0,Apple Watch Series?9,Apple Watch Series 9
vivo X200 Pro,vivo,钛色 16+1T卫星通信版,钛色 16+1T卫星通信版,1.0,vivo X20 0 Pro,vivo X200 Pro
iPhone 16 Pro Max 全新国行正品 非监管机,苹果,256G,沙漠色钛金属,756.0,iPhone 16 Pro Max 正品,iPhone 16 Pro Max
OPPO Pad 3 Pro,OPPO,12.1英寸 晨曦金 WiFi 12GB+256GB,12.1英寸 晨曦金 WiFi 12GB+256GB,1.0,OPPO Pad 3 Pro,OPPO Pad 3 Pro
OPPO Find X8 Pro,OPPO,漫步云端 12+512G,漫步云端 12+512G,3.0,OPPO Find X8 Pro,OPPO Find X8 Pro
MatePad Pro 2024款,华为,雅川青 16GB+1TB WiFi版,雅川青 16GB+1TB WiFi版,1.0,MatePad Pro 2024款,华为 MatePad Pro 2024款
一加 13,一加,黑曜秘境 16+512G,黑曜秘境 16+512G,6.0,一加 13,一加 13
vivo X200 Pro,vivo,16+1T卫星通信版 宝石蓝,16+1T卫星通信版 宝石蓝,2.0,vivo X20 0 Pro,vivo X200 Pro
华为 MatePad Pro 2023款,华为,12GB+512GB WIFI版 13.2英寸 晶钻白,12GB+512GB WIFI版 13.2英寸 晶钻白,1.0,华为 MatePad Pro 2023款,华为 MatePad Pro 2023款
Apple Watch Series?9,Apple,亮粉色运动型表带 S/M 铝金属表壳 蜂窝+GPS版 41mm,亮粉色运动型表带 S/M 铝金属表壳 蜂窝+GPS版 41mm,1.0,Apple Watch Series?9,Apple Watch Series 9
华为 Pura 70,华为,公开加锁版 冰晶蓝 12+512G,公开加锁版 冰晶蓝 12+512G,1.0,华为 Pura 70,华为 Pura 70
荣耀 Magic7 Pro,荣耀,雪域白 16+1T,雪域白 16+1T,2.0,荣耀 Magic7 Pro,荣耀 Magic7 Pro
OPPO Find X8 Pro,OPPO,漫步云端 16+512G,漫步云端 16+512G,4.0,OPPO Find X8 Pro,OPPO Find X8 Pro
小米 Pad 7 Pro,小米,11.2英寸 WiFi 12GB+256GB 黑色,11.2英寸 WiFi 12GB+256GB 黑色,1.0,小米 Pad 7 Pro,小米 平板 7 Pro
OPPO Find X8,OPPO,星野黑 12+512G,星野黑 12+512G,1.0,OPPO Find X8,OPPO Find X8
小米 Watch S4,小米,eSIM版 47mm,eSIM版 47mm,1.0,小米 Watch S4,Apple Watch Series 4
一加 13,一加,白露晨曦 16+512G,白露晨曦 16+512G,1.0,一加 13,一加 13
Apple MacBook Pro 2024款,Apple,M4/10+10核/16G+1TB/2V3（24年款） 深空黑 14英寸,M4/10+10核/16G+1TB/2V3（24年款） 深空黑 14英寸,1.0,Apple MacBook Pro 2024款,MacBook Pro 2024款
华为 Nova 13 Pro,华为,星耀黑 512G,星耀黑 512G,2.0,华为 Nova 13 Pro,未匹配: 华为 Nova 13 Pro
OPPO Find X8,OPPO,气泡粉 12+256G,气泡粉 12+256G,5.0,OPPO Find X8,OPPO Find X8
小米 手环9 Pro,小米,43mm 黑色,43mm 黑色,1.0,小米 手环9 Pro,未匹配: 小米 手环9 Pro
华为Pocket2,华为,华为 Pocket 2,洛可可白,2.0,华为 Pocket2,未匹配: 华为 Pocket2
vivo iQOO Z9,VIVO,vivo iQOO Z9,曜夜黑,1.0,vivo iQOO Z9,vivo iQOO
vivo iQOO 13,VIVO,vivo iQOO 13,纳多灰,7.0,vivo iQOO 13,vivo iQOO 13
OPPO Find X8,OPPO,OPPO Find X8,追风蓝,2.0,OPPO Find X8,OPPO Find X8
OPPO Find X8 无影抓拍超轻薄直屏手机,OPPO,16GB+512GB,星野黑,1.0,OPPO Find X8 无影抓拍超轻薄直屏手机,OPPO Find X8
Apple?Watch Series?10 橡胶表带 国行正品 智能手表,Apple,42毫米 GPS版 S/M,玫瑰金铝金属表壳,1.0,Apple?Watch Series?10,Apple Watch Series 10
HUAWEI Pura 70 超高速风驰闪拍 第二代昆仑玻璃 双超级快充,华为（HUAWEI）,12GB+512GB,冰晶蓝,1.0,华为 Pura 70 超高速风驰闪拍 第二代昆仑玻璃 双超级快充,华为 Pura 70
首月1元 iPhone 16 Pro Max 现货速发 顺丰包邮,Apple,1TB,原色钛金属,1.0,iPhone 16 Pro Max 现货速发,iPhone 16 Pro Max
首月1元 iPhone 16 Pro Max 现货速发 顺丰包邮,Apple,1TB,黑色钛金属,2.0,iPhone 16 Pro Max 现货速发,iPhone 16 Pro Max
首月1元iPhone16 Pro Max 国行正品  顺丰包邮 租机免审 当天发货,Apple,512GB,原色钛金属,2.0,iPhone16 Pro Max  租机免审 当天发货,iPhone 16 Pro Max
AirPods 4 全新国行 通过率高,Apple,AirPods 4,白色,1.0,AirPods 4,AirPods 4
全新 Apple Watch Series 9  国行正品  顺丰发货,Apple,45毫米 GPS+蜂窝网络版 S/M,午夜色铝金属表壳,1.0,全新 Apple Watch Series 9,Apple Watch Series 9
HUAWEI Mate 60 Pro 遥遥领先 智能手机,华为（HUAWEI）,12GB+512GB,雅丹黑,2.0,华为 Mate 60 Pro 遥遥领先 智能手机,华为 Mate 60
iPhone 16【首月1元】,Apple,128GB,深青色,1.0,iPhone 16,iPhone 16
HUAWEI MateBook 14 2024款,华为,Ultra 5/32GB/1TB 深空灰,Ultra 5/32GB/1TB 深空灰,1.0,华为 MateBook 14 2024款,未匹配: 华为 MateBook 14 2024款
华硕 无畏16 2023,华硕,i5-13500H/16G/512G/锐炬Xe/星辰银,i5-13500H/16G/512G/锐炬Xe/星辰银,1.0,华硕 无畏16 2023款,未匹配: 华硕 无畏16 2023款
Apple iPhone 16 Plus,Apple,256G,深青色,2.0,Apple iPhone 16 Plus,iPhone 16 Plus
iPhone 16 Pro Max 全新国行正品 非监管机,苹果,512G,沙漠色钛金属,346.0,iPhone 16 Pro Max 正品,iPhone 16 Pro Max
长租测试商品,Apple,64G,白色,1.0,长租测试商品,未匹配: 长租测试商品
联想 小新Pro14 2024,联想,天青蓝 R7-8845H/32G/1T/集显/14英寸,天青蓝 R7-8845H/32G/1T/集显/14英寸,1.0,联想 小新Pro14 2024款,未匹配: 联想 小新Pro14 2024款
HUAWEI MateBook 14 2024款,华为,Ultra 5/32GB/1TB 皓月银,Ultra 5/32GB/1TB 皓月银,1.0,华为 MateBook 14 2024款,未匹配: 华为 MateBook 14 2024款
iPad 2021款,apple,WiFi版 64G 10.2英寸 银色,WiFi版 64G 10.2英寸 银色,1.0,iPad 2021款,iPad 2021款
OPPO Find X8,OPPO,浮光白 12+256G,浮光白 12+256G,5.0,OPPO Find X8,OPPO Find X8
OPPO Find X8 Pro,OPPO,晴空航线 12+512G,晴空航线 12+512G,1.0,OPPO Find X8 Pro,OPPO Find X8 Pro
iPhone 16 Pro Max 首月1元,苹果,256G,沙漠色钛金属,224.0,iPhone 16 Pro Max,iPhone 16 Pro Max
首月5折iPhone15 Pro Max租物专享,苹果,256G,蓝色钛金属,,首月5折iPhone15 Pro Max租物专享,iPhone 15 Pro Max
",3",,,,,",3","未匹配: ,3"
华为 MateBook 16s 2023,华为,i7-13700H/32G/1T/锐炬Xe/触屏/16英寸 深空灰,i7-13700H/32G/1T/锐炬Xe/触屏/16英寸 深空灰,1.0,华为 MateBook 16s 2023款,未匹配: 华为 MateBook 16s 2023款
iPhone16 Pro Max 租物专享,苹果,256G,沙漠色钛金属,25.0,iPhone16 Pro Max 租物专享,iPhone 16 Pro Max
iPhone 16 Pro Max 全新国行正品 非监管机,苹果,256G,白色钛金属,77.0,iPhone 16 Pro Max 正品,iPhone 16 Pro Max
iPhone 16 Pro Max 全新国行正品 非监管机,苹果,256G,原色钛金属,259.0,iPhone 16 Pro Max 正品,iPhone 16 Pro Max
首月1元iPhone16 Pro Max租物专享,苹果,256G,沙漠色钛金属,23.0,iPhone16 Pro Max租物专享,iPhone 16 Pro Max
iPhone16 Pro Max 租物专享,苹果,256G,原色钛金属,10.0,iPhone16 Pro Max 租物专享,iPhone 16 Pro Max
iPhone 15 Pro Max,苹果,512G,原色钛金属,6.0,iPhone 15 Pro Max,iPhone 15 Pro Max
首月1元iPhone16 Pro Max租物专享,苹果,256G,原色钛金属,16.0,iPhone16 Pro Max租物专享,iPhone 16 Pro Max
iPhone 15 Pro,苹果,128G,原色钛金属,2.0,iPhone 15 Pro,iPhone 15 Pro
iPhone 15 Pro Max 首月1元 秒审秒发 随租随还,苹果,256G,原色钛金属,1.0,iPhone 15 Pro Max 秒审秒发 随租随还,iPhone 15 Pro Max
首月5折iPhone16 Pro Max租物专享,苹果,256G,沙漠色钛金属,15.0,首月5折iPhone16 Pro Max租物专享,iPhone 16 Pro Max
iPhone16 Pro 首月1元,苹果,256G,沙漠色钛金属,3.0,iPhone16 Pro,iPhone 16 Pro
iPhone 16 Pro Max 首月1元,苹果,512G,黑色钛金属,19.0,iPhone 16 Pro Max,iPhone 16 Pro Max
iPhone16 租物专享,苹果,128G,白色,1.0,iPhone16 租物专享,iPhone 16
iPhone 16 Pro 全新国行正品 非监管机,苹果,256G,沙漠色钛金属,12.0,iPhone 16 Pro 正品,iPhone 16 Pro Max
iPhone 16 Pro Max 全新国行正品 非监管机,苹果,512G,白色钛金属,50.0,iPhone 16 Pro Max 正品,iPhone 16 Pro Max
iPhone 15 Pro Max,苹果,256G,蓝色钛金属,,iPhone 15 Pro Max,iPhone 15 Pro Max
",101",,,,,",101","未匹配: ,101"
iPhone 15 Pro Max,苹果,256G,原色钛金属,5.0,iPhone 15 Pro Max,iPhone 15 Pro Max
iPhone 16 Pro 全新国行正品 非监管机,苹果,128G,白色钛金属,1.0,iPhone 16 Pro 正品,iPhone 16 Pro Max
iPhone 15,苹果,128G,蓝色,3.0,iPhone 15,iPhone 15
iPhone 15 Pro Max 首月1元 秒审秒发 随租随还,苹果,256G,蓝色钛金属,,iPhone 15 Pro Max 秒审秒发 随租随还,iPhone 15 Pro Max
",3",,,,,",3","未匹配: ,3"
首月1元 iPhone16 Pro 新人专享,苹果,256G,沙漠色钛金属,1.0,iPhone16 Pro 新人专享,iPhone 16 Pro Max
iPhone 16 首月1元,苹果,128G,白色,2.0,iPhone 16,iPhone 16
iPhone 16 Pro Max,iPhone 16,256G,沙漠色钛金属,10.0,iPhone 16 Pro Max,iPhone 16 Pro Max
OPPO Find X8,OPPO,星野黑 12+256G,星野黑 12+256G,1.0,OPPO Find X8,OPPO Find X8
Apple Watch Ultra 2,Apple,中号 蓝色高山回环式表带 钛金属表壳 49MM 蜂窝+GPS版,中号 蓝色高山回环式表带 钛金属表壳 49MM 蜂窝+GPS版,1.0,Apple Watch Ultra 2,Apple Watch Ultra 2
荣耀平板X8 Pro,荣耀,8GB+128GB 珊瑚紫,8GB+128GB 珊瑚紫,1.0,荣耀 平板X8 Pro,未匹配: 荣耀 平板X8 Pro
Apple iPad mini 2024款,Apple,8.3英寸 蜂窝版 256G 紫色,8.3英寸 蜂窝版 256G 紫色,1.0,Apple iPad mini 2024款,iPad mini 2024
MacBook Air 2024款,Apple,M3/8+10核/8G+256G 15.3英寸 星光色,M3/8+10核/8G+256G 15.3英寸 星光色,2.0,MacBook Air 2024款,MacBook Air 2024款
iPhone 16 Pro,iPhone 16,512G,黑色钛金属,1.0,iPhone 16 Pro,iPhone 16 Pro
Apple MacBook Pro 2024款,Apple,M4 Max/16+40核/48G+1TB/313（24年款） 深空黑 16英寸,M4 Max/16+40核/48G+1TB/313（24年款） 深空黑 16英寸,1.0,Apple MacBook Pro 2024款,MacBook Pro 2024款
华为 MatePad SE 11英寸 2024款,华为,WiFi 8GB+128GB 星海蓝,WiFi 8GB+128GB 星海蓝,1.0,华为 MatePad SE 11英寸 2024款,华为 MatePad
华为 MatePad Air 12英寸 2024款,华为,12英寸 烟云灰 WiFi 12GB+512GB 柔光版,12英寸 烟云灰 WiFi 12GB+512GB 柔光版,1.0,华为 MatePad Air 12英寸 2024款,华为 MatePad
星Book14 2023款,惠普（HP）,R5-7520U/16G/512G SSD/锐炬Xe/14英寸 银色,R5-7520U/16G/512G SSD/锐炬Xe/14英寸 银色,1.0,星Book14 2023款,未匹配: 星Book14 2023款
iPhone 12,苹果严选,64G,紫色,2.0,iPhone 12,iPhone 12
iPhone11,苹果严选,64G,黑色,1.0,iPhone11,iPhone 11
荣耀 平板9,荣耀,8GB+128GB 天青色,8GB+128GB 天青色,1.0,荣耀 平板9,未匹配: 荣耀 平板9
Apple Watch Ultra 2,Apple,大号 橄榄色高山回环式表带 钛金属表壳 49MM 蜂窝+GPS版,大号 橄榄色高山回环式表带 钛金属表壳 49MM 蜂窝+GPS版,1.0,Apple Watch Ultra 2,Apple Watch Ultra 2
Apple iPad mini 2024款,Apple,8.3英寸 深空灰色 WiFi版 256G,8.3英寸 深空灰色 WiFi版 256G,2.0,Apple iPad mini 2024款,iPad mini 2024
OPPO Pad 3 Pro,OPPO,12.1英寸 夜幕蓝 WiFi 12GB+256GB,12.1英寸 夜幕蓝 WiFi 12GB+256GB,1.0,OPPO Pad 3 Pro,OPPO Pad 3 Pro
OPPO Find X8,OPPO,浮光白 12+512G,浮光白 12+512G,4.0,OPPO Find X8,OPPO Find X8
Apple iPad mini 2024款,Apple,8.3英寸 深空灰色 WiFi版 128G,8.3英寸 深空灰色 WiFi版 128G,1.0,Apple iPad mini 2024款,iPad mini 2024
小米 Pad 7,小米,11.2英寸 WiFi 12GB+256GB 柔光版 黑色,11.2英寸 WiFi 12GB+256GB 柔光版 黑色,1.0,小米 Pad 7,小米 平板 7
